data;

set nodes := s 1 2 3 4 5 t;
set edges := s1 s2 12 13 14 23 25 34 35 45 4t 5t;

set inbound[s] := ;
set inbound[1] := s1;
set inbound[2] := s2 12;
set inbound[3] := 13 23;
set inbound[4] := 14 34;
set inbound[5] := 25 35 45;
set inbound[t] := 4t 5t;

set outbound[s] := s1 s2;
set outbound[1] := 12 13 14;
set outbound[2] := 23 25;
set outbound[3] := 34 35;
set outbound[4] := 45 4t;
set outbound[5] := 5t;
set outbound[t] := ;

set infras := 0 1 2 3;

set ods := (s, t) (s, 5) (2, 4);

param demand := 
  [s, t] 100
  [s, 5] 50
  [2, 4] 50;

param budget := 30;
param weight :=
  [s1, 0] 5
  [s1, 1] 4.5
  [s1, 2] 2.5
  [s1, 3] 2.0
  [s2, 0] 3
  [s2, 1] 2.7
  [s2, 2] 1.5
  [s2, 3] 1.2000000000000002
  [12, 0] 3
  [12, 1] 2.7
  [12, 2] 1.5
  [12, 3] 1.2000000000000002
  [13, 0] 4
  [13, 1] 3.6
  [13, 2] 2.0
  [13, 3] 1.6
  [14, 0] 1
  [14, 1] 0.9
  [14, 2] 0.5
  [14, 3] 0.4
  [23, 0] 1
  [23, 1] 0.9
  [23, 2] 0.5
  [23, 3] 0.4
  [25, 0] 3
  [25, 1] 2.7
  [25, 2] 1.5
  [25, 3] 1.2000000000000002
  [34, 0] 4
  [34, 1] 3.6
  [34, 2] 2.0
  [34, 3] 1.6
  [35, 0] 3
  [35, 1] 2.7
  [35, 2] 1.5
  [35, 3] 1.2000000000000002
  [45, 0] 1
  [45, 1] 0.9
  [45, 2] 0.5
  [45, 3] 0.4
  [4t, 0] 2
  [4t, 1] 1.8
  [4t, 2] 1.0
  [4t, 3] 0.8
  [5t, 0] 6
  [5t, 1] 5.4
  [5t, 2] 3.0
  [5t, 3] 2.4000000000000004;

param construction_cost :=
  [s1, 0] 0
  [s1, 1] 5
  [s1, 2] 20
  [s1, 3] 40
  [s2, 0] 0
  [s2, 1] 3
  [s2, 2] 12
  [s2, 3] 24
  [12, 0] 0
  [12, 1] 3
  [12, 2] 12
  [12, 3] 24
  [13, 0] 0
  [13, 1] 4
  [13, 2] 16
  [13, 3] 32
  [14, 0] 0
  [14, 1] 1
  [14, 2] 4
  [14, 3] 8
  [23, 0] 0
  [23, 1] 1
  [23, 2] 4
  [23, 3] 8
  [25, 0] 0
  [25, 1] 3
  [25, 2] 12
  [25, 3] 24
  [34, 0] 0
  [34, 1] 4
  [34, 2] 16
  [34, 3] 32
  [35, 0] 0
  [35, 1] 3
  [35, 2] 12
  [35, 3] 24
  [45, 0] 0
  [45, 1] 1
  [45, 2] 4
  [45, 3] 8
  [4t, 0] 0
  [4t, 1] 2
  [4t, 2] 8
  [4t, 3] 16
  [5t, 0] 0
  [5t, 1] 6
  [5t, 2] 24
  [5t, 3] 48;

end;
